instance,algorithm,execution_seed,target_value,target_reached,time_to_target,final_solution_value,total_time
in/instance-01.txt,PLI,0,10000,0,-1.0000,195.0000,0.0280
in/instance-02.txt,PLI,0,10000,0,-1.0000,200.0000,0.1194
in/instance-03.txt,PLI,0,10000,0,-1.0000,283.0000,0.0796
in/instance-04.txt,PLI,0,10000,0,-1.0000,604.0000,8.3682
in/instance-05.txt,PLI,0,10000,0,-1.0000,677.0000,5.6451
in/instance-06.txt,PLI,0,10000,0,-1.0000,514.0000,9.6414
in/instance-07.txt,PLI,0,10000,0,-1.0000,1481.0000,600.0189
in/instance-08.txt,PLI,0,10000,0,-1.0000,2264.0000,600.0119
in/instance-09.txt,PLI,0,10000,0,-1.0000,2008.0000,600.0154
in/instance-10.txt,PLI,0,10000,0,-1.0000,5192.0000,600.0671
in/instance-11.txt,PLI,0,10000,0,-1.0000,4464.0000,600.0656
in/instance-12.txt,PLI,0,10000,0,-1.0000,4747.0000,600.0753
in/instance-13.txt,PLI,0,10000,0,-1.0000,7058.0000,600.1650
in/instance-14.txt,PLI,0,10000,0,-1.0000,9042.0000,600.2225
in/instance-15.txt,PLI,0,10000,0,-1.0000,8533.0000,600.1956
in/instance-01.txt,GeneticAlgorithm,0,10000,0,-1.0000,214.0000,600.0001
in/instance-02.txt,GeneticAlgorithm,0,10000,0,-1.0000,201.0000,600.0001
in/instance-03.txt,GeneticAlgorithm,0,10000,0,-1.0000,283.0000,600.0011
in/instance-04.txt,GeneticAlgorithm,0,10000,0,-1.0000,604.0000,600.0003
in/instance-05.txt,GeneticAlgorithm,0,10000,0,-1.0000,677.0000,600.0016
in/instance-06.txt,GeneticAlgorithm,0,10000,0,-1.0000,514.0000,600.0002
in/instance-07.txt,GeneticAlgorithm,0,10000,0,-1.0000,1514.0000,600.0002
in/instance-08.txt,GeneticAlgorithm,0,10000,0,-1.0000,2267.0000,600.0035
in/instance-09.txt,GeneticAlgorithm,0,10000,0,-1.0000,1976.0000,600.0016
in/instance-10.txt,GeneticAlgorithm,0,10000,0,-1.0000,5361.0000,600.0226
in/instance-11.txt,GeneticAlgorithm,0,10000,0,-1.0000,4624.0000,600.0043
in/instance-12.txt,GeneticAlgorithm,0,10000,0,-1.0000,4880.0000,600.0152
in/instance-13.txt,GeneticAlgorithm,0,10000,1,326.3793,13700.0000,600.2119
in/instance-14.txt,GeneticAlgorithm,0,10000,1,255.6473,14813.0000,600.1268
in/instance-15.txt,GeneticAlgorithm,0,10000,1,98.0652,14433.0000,600.0533
in/instance-01.txt,GRASP,0,10000,0,-1.0000,195.0000,600.0020
in/instance-02.txt,GRASP,0,10000,0,-1.0000,200.0000,600.0006
in/instance-03.txt,GRASP,0,10000,0,-1.0000,283.0000,600.0005
in/instance-04.txt,GRASP,0,10000,0,-1.0000,604.0000,600.0164
in/instance-05.txt,GRASP,0,10000,0,-1.0000,677.0000,600.0210
in/instance-06.txt,GRASP,0,10000,0,-1.0000,514.0000,600.0104
in/instance-07.txt,GRASP,0,10000,0,-1.0000,1531.0000,600.1512
in/instance-08.txt,GRASP,0,10000,0,-1.0000,2267.0000,600.0932
in/instance-09.txt,GRASP,0,10000,0,-1.0000,2008.0000,600.1390
in/instance-10.txt,GRASP,0,10000,0,-1.0000,5371.0000,600.2495
in/instance-11.txt,GRASP,0,10000,0,-1.0000,4759.0000,600.6004
in/instance-12.txt,GRASP,0,10000,0,-1.0000,5129.0000,601.6429
in/instance-13.txt,GRASP,0,10000,1,131.2621,13650.0000,640.6987
in/instance-14.txt,GRASP,0,10000,1,332.3178,14900.0000,600.7884
in/instance-15.txt,GRASP,0,10000,1,348.8399,14573.0000,600.5221
in/instance-01.txt,TabuSearch,0,10000,0,600.0036,366.0,600.0036
in/instance-02.txt,TabuSearch,0,10000,0,600.0094,366.0,600.0094
in/instance-03.txt,TabuSearch,0,10000,0,600.0106,539.0,600.0106
in/instance-04.txt,TabuSearch,0,10000,0,600.1024,937.0,600.1024
in/instance-05.txt,TabuSearch,0,10000,0,600.0735,1282.0,600.0735
in/instance-06.txt,TabuSearch,0,10000,0,600.0063,836.0,600.0063
in/instance-07.txt,TabuSearch,0,10000,0,600.4042,1336.0,600.4042
in/instance-08.txt,TabuSearch,0,10000,0,600.8851,3768.0,600.8851
in/instance-09.txt,TabuSearch,0,10000,0,600.5102,3159.0,600.5102
in/instance-10.txt,TabuSearch,0,10000,0,713.5842,2563.0,713.5842
in/instance-11.txt,TabuSearch,0,10000,0,638.6535,5226.0,638.6535
in/instance-12.txt,TabuSearch,0,10000,0,604.2288,8336.0,604.2288
in/instance-13.txt,TabuSearch,0,10000,0,1971.0683,1942.0,1971.0683
in/instance-14.txt,TabuSearch,0,10000,0,843.0638,1364.0,843.0638
in/instance-15.txt,TabuSearch,0,10000,0,632.6372,3085.0,632.6372

