instance,algorithm,execution_seed,target_value,target_reached,time_to_target,final_solution_value,total_time
in/instance-05.txt,GRASP,4,1100,0,-1.0000,677.0000,600.0051
in/instance-05.txt,GRASP,2,1100,0,-1.0000,677.0000,600.0421
in/instance-05.txt,GRASP,1,1100,0,-1.0000,677.0000,600.0446
in/instance-05.txt,GRASP,8,1100,0,-1.0000,677.0000,600.0468
in/instance-05.txt,GRASP,7,1100,0,-1.0000,677.0000,600.0617
in/instance-05.txt,GRASP,9,1100,0,-1.0000,677.0000,600.0617
in/instance-05.txt,GRASP,5,1100,0,-1.0000,677.0000,600.0626
in/instance-05.txt,GRASP,0,1100,0,-1.0000,677.0000,600.0687
in/instance-05.txt,GRASP,6,1100,0,-1.0000,677.0000,600.0867
in/instance-05.txt,GRASP,3,1100,0,-1.0000,677.0000,600.1061
in/instance-05.txt,GRASP,10,1100,0,-1.0000,677.0000,600.0457
in/instance-05.txt,GRASP,15,1100,0,-1.0000,677.0000,600.0283
in/instance-05.txt,GRASP,13,1100,0,-1.0000,677.0000,600.0538
in/instance-05.txt,GRASP,14,1100,0,-1.0000,677.0000,600.0418
in/instance-05.txt,GRASP,12,1100,0,-1.0000,677.0000,600.0779
in/instance-05.txt,GRASP,17,1100,0,-1.0000,677.0000,600.0644
in/instance-05.txt,GRASP,11,1100,0,-1.0000,677.0000,600.1052
in/instance-05.txt,GRASP,19,1100,0,-1.0000,677.0000,600.0503
in/instance-05.txt,GRASP,18,1100,0,-1.0000,677.0000,600.0804
in/instance-05.txt,GRASP,16,1100,0,-1.0000,677.0000,600.1233
in/instance-10.txt,GRASP,9,4000,1,361.2249,5371.0000,602.8881
in/instance-10.txt,GRASP,5,4000,1,362.5627,5371.0000,604.6953
in/instance-10.txt,GRASP,3,4000,1,362.6111,5371.0000,605.1071
in/instance-10.txt,GRASP,2,4000,1,362.8471,5371.0000,605.4326
in/instance-10.txt,GRASP,7,4000,1,362.6870,5371.0000,605.4779
in/instance-10.txt,GRASP,0,4000,1,362.8843,5371.0000,605.5914
in/instance-10.txt,GRASP,1,4000,1,363.4584,5371.0000,607.2516
in/instance-10.txt,GRASP,8,4000,1,364.4677,5371.0000,608.4084
in/instance-10.txt,GRASP,4,4000,1,365.1888,5371.0000,609.3088
in/instance-10.txt,GRASP,6,4000,1,365.9662,5371.0000,609.8087
in/instance-10.txt,GRASP,10,4000,1,361.9726,5371.0000,600.1082
in/instance-10.txt,GRASP,11,4000,1,362.5175,5371.0000,600.8962
in/instance-10.txt,GRASP,13,4000,1,363.0910,5371.0000,600.5004
in/instance-10.txt,GRASP,14,4000,1,362.9109,5371.0000,600.5227
in/instance-10.txt,GRASP,12,4000,1,364.2325,5371.0000,602.3191
in/instance-10.txt,GRASP,15,4000,1,365.4706,5371.0000,603.7942
in/instance-10.txt,GRASP,17,4000,1,364.2987,5371.0000,602.0509
in/instance-10.txt,GRASP,16,4000,1,365.4824,5371.0000,603.2853
in/instance-10.txt,GRASP,19,4000,1,365.4805,5371.0000,602.4855
in/instance-10.txt,GRASP,18,4000,1,368.8561,5371.0000,605.0469
in/instance-15.txt,GRASP,1,8000,1,620.9405,14559.0000,620.9405
in/instance-15.txt,GRASP,4,8000,1,621.3204,14559.0000,621.3204
in/instance-15.txt,GRASP,0,8000,1,621.3704,14559.0000,621.3704
in/instance-15.txt,GRASP,5,8000,1,621.7089,14559.0000,621.7089
in/instance-15.txt,GRASP,3,8000,1,621.9330,14559.0000,621.9330
in/instance-15.txt,GRASP,9,8000,1,622.2713,14559.0000,622.2713
in/instance-15.txt,GRASP,7,8000,1,623.0762,14559.0000,623.0762
in/instance-15.txt,GRASP,6,8000,1,623.5917,14559.0000,623.5917
in/instance-15.txt,GRASP,8,8000,1,626.0508,14559.0000,626.0508
in/instance-15.txt,GRASP,2,8000,1,629.4221,14559.0000,629.4221
in/instance-15.txt,GRASP,10,8000,1,625.0387,14559.0000,625.0387
in/instance-15.txt,GRASP,15,8000,1,623.8217,14559.0000,623.8314
in/instance-15.txt,GRASP,13,8000,1,624.7283,14559.0000,624.7283
in/instance-15.txt,GRASP,17,8000,1,623.3772,14559.0000,623.3772
in/instance-15.txt,GRASP,12,8000,1,625.6162,14559.0000,625.6162
in/instance-15.txt,GRASP,11,8000,1,626.0827,14559.0000,626.0827
in/instance-15.txt,GRASP,14,8000,1,625.4728,14559.0000,625.4728
in/instance-15.txt,GRASP,16,8000,1,626.5453,14559.0000,626.5453
in/instance-15.txt,GRASP,19,8000,1,621.1938,14559.0000,621.1938
in/instance-15.txt,GRASP,18,8000,1,625.5080,14559.0000,625.5080
in/instance-05.txt,TabuSearch,6,1100,1,8.3187,1238.0000,600.0875
in/instance-05.txt,TabuSearch,7,1100,1,5.5725,1253.0000,600.1101
in/instance-05.txt,TabuSearch,5,1100,1,7.8808,1219.0000,600.2791
in/instance-05.txt,TabuSearch,3,1100,1,7.2512,1203.0000,600.3754
in/instance-05.txt,TabuSearch,9,1100,0,600.2570,1067.0000,600.2570
in/instance-05.txt,TabuSearch,0,1100,1,7.4662,1282.0000,600.5320
in/instance-05.txt,TabuSearch,2,1100,1,8.7560,1227.0000,600.5481
in/instance-05.txt,TabuSearch,1,1100,1,6.3301,1241.0000,600.7185
in/instance-05.txt,TabuSearch,4,1100,1,5.5914,1253.0000,600.7179
in/instance-05.txt,TabuSearch,8,1100,1,7.7797,1205.0000,600.7112
in/instance-05.txt,TabuSearch,14,1100,1,6.0906,1253.0000,600.0591
in/instance-05.txt,TabuSearch,16,1100,1,5.9427,1193.0000,600.1060
in/instance-05.txt,TabuSearch,11,1100,1,6.7037,1133.0000,600.5696
in/instance-05.txt,TabuSearch,12,1100,1,7.4182,1256.0000,600.5491
in/instance-05.txt,TabuSearch,10,1100,1,11.7110,1233.0000,600.7665
in/instance-05.txt,TabuSearch,18,1100,1,7.5126,1187.0000,600.2144
in/instance-05.txt,TabuSearch,15,1100,1,4.3095,1258.0000,600.5534
in/instance-05.txt,TabuSearch,13,1100,1,10.7370,1204.0000,600.7640
in/instance-05.txt,TabuSearch,17,1100,1,7.5682,1266.0000,600.4655
in/instance-05.txt,TabuSearch,19,1100,1,6.0102,1254.0000,600.4375
in/instance-10.txt,TabuSearch,7,4000,0,610.2773,244.0000,610.2773
in/instance-10.txt,TabuSearch,5,4000,0,611.7563,-1323.0000,611.7563
in/instance-10.txt,TabuSearch,3,4000,0,617.5517,861.0000,617.5517
in/instance-10.txt,TabuSearch,8,4000,0,621.2704,1310.0000,621.2704
in/instance-10.txt,TabuSearch,1,4000,0,623.8046,617.0000,623.8046
in/instance-10.txt,TabuSearch,4,4000,0,625.6058,694.0000,625.6058
in/instance-10.txt,TabuSearch,2,4000,0,633.0462,-716.0000,633.0462
in/instance-10.txt,TabuSearch,0,4000,0,637.6336,1046.0000,637.6336
in/instance-10.txt,TabuSearch,6,4000,0,643.8252,506.0000,643.8252
in/instance-10.txt,TabuSearch,9,4000,0,649.0542,1083.0000,649.0542
in/instance-10.txt,TabuSearch,12,4000,0,610.5234,995.0000,610.5234
in/instance-10.txt,TabuSearch,11,4000,0,616.6837,562.0000,616.6837
in/instance-10.txt,TabuSearch,13,4000,0,615.9792,1847.0000,615.9792
in/instance-10.txt,TabuSearch,17,4000,0,603.5588,-561.0000,603.5588
in/instance-10.txt,TabuSearch,15,4000,0,618.7678,328.0000,618.7678
in/instance-10.txt,TabuSearch,14,4000,0,623.4609,-1003.0000,623.4609
in/instance-10.txt,TabuSearch,10,4000,0,955.3037,-133.0000,955.3037
in/instance-10.txt,TabuSearch,16,4000,0,942.5375,69.0000,942.5375
in/instance-10.txt,TabuSearch,19,4000,0,934.0411,929.0000,934.0411
in/instance-10.txt,TabuSearch,18,4000,0,942.8653,722.0000,942.8653
in/instance-15.txt,TabuSearch,6,8000,0,845.5250,1036.0000,845.5250
in/instance-15.txt,TabuSearch,5,8000,0,851.1342,1099.0000,851.1342
in/instance-15.txt,TabuSearch,4,8000,0,853.7481,682.0000,853.7481
in/instance-15.txt,TabuSearch,7,8000,0,854.5589,-1854.0000,854.5589
in/instance-15.txt,TabuSearch,8,8000,0,858.9243,-771.0000,858.9243
in/instance-15.txt,TabuSearch,3,8000,0,861.0396,-159.0000,861.0396
in/instance-15.txt,TabuSearch,1,8000,0,861.5821,-220.0000,861.5821
in/instance-15.txt,TabuSearch,0,8000,0,861.7088,402.0000,861.7088
in/instance-15.txt,TabuSearch,9,8000,0,863.5206,-404.0000,863.5206
in/instance-15.txt,TabuSearch,2,8000,0,873.0595,-2015.0000,873.0595
in/instance-15.txt,TabuSearch,11,8000,0,845.8287,190.0000,845.8287
in/instance-15.txt,TabuSearch,10,8000,0,857.9179,1994.0000,857.9179
in/instance-15.txt,TabuSearch,14,8000,0,855.1069,-2295.0000,855.1069
