instance,algorithm,execution_seed,target_value,target_reached,time_to_target,final_solution_value,total_time
in/instance-05.txt,GeneticAlgorithm,0,1100,0,-1.0000,677.0000,600.0020
in/instance-05.txt,GeneticAlgorithm,1,1100,0,-1.0000,677.0000,600.0076
in/instance-05.txt,GeneticAlgorithm,3,1100,0,-1.0000,677.0000,600.0026
in/instance-05.txt,GeneticAlgorithm,2,1100,0,-1.0000,677.0000,600.0043
in/instance-05.txt,GeneticAlgorithm,4,1100,0,-1.0000,677.0000,600.0043
in/instance-05.txt,GeneticAlgorithm,5,1100,0,-1.0000,677.0000,600.0161
in/instance-05.txt,GeneticAlgorithm,6,1100,0,-1.0000,677.0000,600.0075
in/instance-05.txt,GeneticAlgorithm,8,1100,0,-1.0000,677.0000,600.0041
in/instance-05.txt,GeneticAlgorithm,9,1100,0,-1.0000,677.0000,600.0005
in/instance-05.txt,GeneticAlgorithm,7,1100,0,-1.0000,677.0000,600.0012
in/instance-05.txt,GeneticAlgorithm,10,1100,0,-1.0000,677.0000,600.0161
in/instance-05.txt,GeneticAlgorithm,11,1100,0,-1.0000,677.0000,600.0029
in/instance-05.txt,GeneticAlgorithm,13,1100,0,-1.0000,677.0000,600.0123
in/instance-05.txt,GeneticAlgorithm,14,1100,0,-1.0000,677.0000,600.0010
in/instance-05.txt,GeneticAlgorithm,12,1100,0,-1.0000,677.0000,600.0017
in/instance-05.txt,GeneticAlgorithm,15,1100,0,-1.0000,677.0000,600.0077
in/instance-05.txt,GeneticAlgorithm,16,1100,0,-1.0000,677.0000,600.0097
in/instance-05.txt,GeneticAlgorithm,17,1100,0,-1.0000,677.0000,600.0056
in/instance-05.txt,GeneticAlgorithm,18,1100,0,-1.0000,677.0000,600.0010
in/instance-05.txt,GeneticAlgorithm,19,1100,0,-1.0000,677.0000,600.0050
in/instance-10.txt,GeneticAlgorithm,9,4000,1,92.4237,5361.0000,600.0178
in/instance-10.txt,GeneticAlgorithm,7,4000,1,90.2448,5371.0000,600.1164
in/instance-10.txt,GeneticAlgorithm,6,4000,1,170.8562,5335.0000,600.1356
in/instance-10.txt,GeneticAlgorithm,8,4000,1,197.0079,5371.0000,600.1485
in/instance-10.txt,GeneticAlgorithm,4,4000,1,177.6394,5371.0000,600.1629
in/instance-10.txt,GeneticAlgorithm,5,4000,1,263.7196,5365.0000,600.1901
in/instance-10.txt,GeneticAlgorithm,1,4000,1,111.0392,5304.0000,600.2077
in/instance-10.txt,GeneticAlgorithm,0,4000,1,245.8480,5358.0000,600.1953
in/instance-10.txt,GeneticAlgorithm,2,4000,1,366.6041,5358.0000,600.2351
in/instance-10.txt,GeneticAlgorithm,3,4000,1,95.8959,5359.0000,600.2448
in/instance-10.txt,GeneticAlgorithm,11,4000,1,134.4659,5335.0000,600.0857
in/instance-10.txt,GeneticAlgorithm,17,4000,1,525.1466,5342.0000,600.0015
in/instance-10.txt,GeneticAlgorithm,10,4000,1,283.5133,5346.0000,600.1889
in/instance-10.txt,GeneticAlgorithm,12,4000,1,395.9418,5354.0000,600.0952
in/instance-10.txt,GeneticAlgorithm,14,4000,1,219.3687,5361.0000,600.1368
in/instance-10.txt,GeneticAlgorithm,15,4000,1,211.5753,5359.0000,600.1368
in/instance-10.txt,GeneticAlgorithm,13,4000,1,193.0144,5358.0000,600.1707
in/instance-10.txt,GeneticAlgorithm,16,4000,1,156.5229,5371.0000,600.1766
in/instance-10.txt,GeneticAlgorithm,18,4000,1,464.1585,5359.0000,600.2129
in/instance-10.txt,GeneticAlgorithm,19,4000,1,386.4142,5265.0000,600.2696
in/instance-15.txt,GeneticAlgorithm,6,8000,1,598.1072,14510.0000,600.0211
in/instance-15.txt,GeneticAlgorithm,1,8000,1,581.5489,14296.0000,600.0456
in/instance-15.txt,GeneticAlgorithm,5,8000,1,587.5764,14212.0000,600.3240
in/instance-15.txt,GeneticAlgorithm,9,8000,1,547.9204,14493.0000,600.5174
in/instance-15.txt,GeneticAlgorithm,2,8000,1,504.8388,14445.0000,600.0585
in/instance-15.txt,GeneticAlgorithm,4,8000,1,593.7810,14414.0000,600.0558
in/instance-15.txt,GeneticAlgorithm,0,8000,1,454.8230,14433.0000,600.5626
in/instance-15.txt,GeneticAlgorithm,3,8000,1,572.1209,14541.0000,600.1571
in/instance-15.txt,GeneticAlgorithm,8,8000,1,584.4919,14390.0000,600.4592
in/instance-15.txt,GeneticAlgorithm,7,8000,1,574.0355,14510.0000,600.4172
in/instance-15.txt,GeneticAlgorithm,12,8000,1,494.5443,14524.0000,600.2718
in/instance-15.txt,GeneticAlgorithm,10,8000,1,595.8680,14331.0000,600.3239
in/instance-15.txt,GeneticAlgorithm,17,8000,1,594.4385,14482.0000,600.4665
in/instance-15.txt,GeneticAlgorithm,11,8000,1,587.5800,14450.0000,600.4466
in/instance-15.txt,GeneticAlgorithm,18,8000,1,593.3894,14380.0000,600.2681
in/instance-15.txt,GeneticAlgorithm,15,8000,1,591.7500,14320.0000,600.0568
in/instance-15.txt,GeneticAlgorithm,13,8000,1,587.7723,14481.0000,600.6083
in/instance-15.txt,GeneticAlgorithm,16,8000,1,592.7101,14530.0000,600.0077
in/instance-15.txt,GeneticAlgorithm,14,8000,1,599.3190,14555.0000,600.5100
in/instance-15.txt,GeneticAlgorithm,19,8000,1,592.9554,14443.0000,600.2229
