instance,algorithm,execution_seed,target_value,target_reached,time_to_target,final_solution_value,total_time
instance-05.txt,GRASP,0,1100,False,600.2817,1008.0,600.2817
instance-05.txt,GRASP,1,1100,False,600.1780,1059.0,600.1780
instance-05.txt,GRASP,2,1100,False,600.1651,1039.0,600.1651
instance-05.txt,GRASP,3,1100,False,600.2248,1000.0,600.2248
instance-05.txt,GRASP,4,1100,False,600.3048,993.0,600.3048
instance-05.txt,GRASP,5,1100,False,600.0233,1061.0,600.0233
instance-05.txt,GRASP,6,1100,False,600.5961,999.0,600.5961
instance-05.txt,GRASP,7,1100,False,600.1211,1039.0,600.1211
instance-05.txt,GRASP,8,1100,False,600.0701,1015.0,600.0701
instance-05.txt,GRASP,9,1100,False,600.6643,1062.0,600.6643
instance-05.txt,GRASP,10,1100,False,600.5102,1060.0,600.5102
instance-05.txt,GRASP,11,1100,False,600.1128,1030.0,600.1128
instance-05.txt,GRASP,12,1100,False,600.0105,986.0,600.0105
instance-05.txt,GRASP,13,1100,False,600.0880,1023.0,600.0880
instance-05.txt,GRASP,14,1100,False,600.6456,1025.0,600.6456
instance-05.txt,GRASP,15,1100,False,600.3993,993.0,600.3993
instance-05.txt,GRASP,16,1100,False,600.7092,1012.0,600.7092
instance-05.txt,GRASP,17,1100,False,600.1728,1070.0,600.1728
instance-05.txt,GRASP,18,1100,False,600.6572,1000.0,600.6572
instance-05.txt,GRASP,19,1100,False,600.3309,1028.0,600.3309
instance-10.txt,GRASP,0,4000,True,1571.6504,6371.0,1571.6504
instance-10.txt,GRASP,1,4000,True,841.0572,5194.0,841.0572
instance-10.txt,GRASP,2,4000,True,1160.6298,5713.0,1160.6298
instance-10.txt,GRASP,3,4000,True,679.3597,4819.0,679.3597
instance-10.txt,GRASP,4,4000,True,792.7977,5219.0,792.7977
instance-10.txt,GRASP,5,4000,True,1058.9672,4818.0,1058.9672
instance-10.txt,GRASP,6,4000,True,1649.5164,5916.0,1649.5164
instance-10.txt,GRASP,7,4000,True,575.5112,5423.0,1134.2434
instance-10.txt,GRASP,8,4000,True,426.3108,4758.0,658.0335
instance-10.txt,GRASP,9,4000,True,372.9884,5634.0,1049.3492
instance-10.txt,GRASP,10,4000,True,246.6421,5014.0,653.8094
instance-10.txt,GRASP,11,4000,True,547.7259,5318.0,1006.1579
instance-10.txt,GRASP,12,4000,True,616.0302,4470.0,616.0302
instance-10.txt,GRASP,13,4000,True,821.5148,5264.0,821.5148
instance-10.txt,GRASP,14,4000,True,461.8668,4932.0,629.4459
instance-10.txt,GRASP,15,4000,True,1355.7355,5130.0,1355.7355
instance-10.txt,GRASP,16,4000,True,653.3640,4592.0,653.3640
instance-10.txt,GRASP,17,4000,True,816.7423,4575.0,816.7423
instance-10.txt,GRASP,18,4000,True,648.9940,5139.0,648.9940
instance-10.txt,GRASP,19,4000,True,473.7139,5083.0,904.7613
instance-15.txt,GRASP,0,8000,True,1392.6366,19478.0,1392.6366
instance-15.txt,GRASP,1,8000,True,1354.0849,18972.0,1354.0849
instance-15.txt,GRASP,2,8000,True,1728.5164,19909.0,1728.5164
instance-15.txt,GRASP,3,8000,True,1661.9581,21145.0,1661.9581
instance-15.txt,GRASP,4,8000,True,1223.2033,19092.0,1223.2033
instance-15.txt,GRASP,5,8000,True,1610.6866,19915.0,1610.6866
instance-15.txt,GRASP,6,8000,True,1226.0057,19354.0,1226.0057
instance-15.txt,GRASP,7,8000,True,1611.2853,18430.0,1611.2853
instance-15.txt,GRASP,8,8000,True,2058.4953,22109.0,2058.4953
instance-15.txt,GRASP,9,8000,True,1812.6796,21310.0,1812.6796
